,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.001108646,0.000491904,0.009959221,0.001315211,3,1,"{'n_neighbors': 3, 'p': 1}",0.8610039080799482,0.8232083227956082,0.8475375091153347,0.8067962477609698,0.7989663723931123,0.8275024720289947,0.023601887,5
1,0.000608778,0.000497698,0.00229702,0.000654325,3,2,"{'n_neighbors': 3, 'p': 2}",0.8034297884613899,0.7921011750083943,0.8203074548904602,0.7286898031392606,0.7560252348489954,0.780110691,0.033249206747901425,10
2,0.000407553,0.000499285,0.008911276,0.001570145,5,1,"{'n_neighbors': 5, 'p': 1}",0.8756113934752018,0.8243845064127073,0.8427099658523206,0.8068763662985974,0.8119459475717021,0.8323056359221059,0.024930093,2
3,0.000915051,0.000679593,0.002870226,0.000622062,5,2,"{'n_neighbors': 5, 'p': 2}",0.8386426905089439,0.8046006289171526,0.8300073035182269,0.7521688181526315,0.7774311956454925,0.8005701273484895,0.032281292544069404,9
4,0.000253391,0.000438662,0.007902336,0.000498457,7,1,"{'n_neighbors': 7, 'p': 1}",0.8777426596797709,0.8263745024008167,0.8442461897962663,0.8098852832273105,0.8139140723119521,0.8344325414832234,0.024740984177188664,1
5,0.000600863,0.000490604,0.002439594,0.000345591,7,2,"{'n_neighbors': 7, 'p': 2}",0.8475575739400772,0.8047425471721945,0.8295962919959021,0.7662190155377296,0.7910956128514762,0.807842208,0.028541538008040854,7
6,0.000701904,0.000601689,0.009640837,0.001907327,9,1,"{'n_neighbors': 9, 'p': 1}",0.8723508263951796,0.8262023291349756,0.8436627255211484,0.8088801590728926,0.8063294793254703,0.8314851038899332,0.024454032,3
7,0.001000261,0.000890341,0.002953482,0.00080479,9,2,"{'n_neighbors': 9, 'p': 2}",0.8522429065295287,0.8010912874766986,0.8278988204201294,0.7694799572928985,0.7926142855660865,0.8086654514570684,0.028703407,6
8,0.000470161,0.000455301,0.010139513,0.000903735,11,1,"{'n_neighbors': 11, 'p': 1}",0.8730458485761714,0.8224067831022844,0.8381165246691231,0.8069220728413278,0.8035946065887196,0.8288171671555252,0.025295533402790876,4
9,0.000403166,0.000493786,0.003402042,0.000519957,11,2,"{'n_neighbors': 11, 'p': 2}",0.8478415838789921,0.7960982350892107,0.8269578528180139,0.7677083936558137,0.786872565,0.8050957260981907,0.028691504012063048,8
